,price,discount,review_count,quantity_sold,rate_shop,shop_follow,count_code,rating_avarage
389,395.000 ₫,-29%,113,544,4.6,81,1,4.7
390,118.800 ₫,-1%,15,77,3.9,8,1,4.5
391,119.000 ₫,0,11,51,4.7,1945,1,4.5
392,89.900 ₫,0,82,465,4.8,408,1,4.9
393,45.000 ₫,0,8,61,4.7,416,1,5
394,15.000 ₫,0,5,27,4.3,1228,4,5
395,330.000 ₫,-25%,60,446,4.7,1536,2,4.7
396,48.000 ₫,0,3,22,4.2,2867,2,3.7
397,13.000 ₫,0,16,326,4.5,569,0,4.1
398,13.000 ₫,-48%,4,183,4.7,110,2,0
399,586.886 ₫,-45%,43,174,4.7,88,3,4.7
400,14.000 ₫,0,4,87,4.2,512,3,0
401,304.800 ₫,-38%,1,5,4.5,17,3,4
402,682.500 ₫,0,0,1,4.7,645,4,0
403,469.000 ₫,0,3,6,4.7,1945,1,5
404,169.000 ₫,0,12,85,4.7,1945,1,5
405,41.000 ₫,0,16,81,4.5,21,0,4.6
406,33.000 ₫,-45%,1,36,4.3,311,3,4
407,192.000 ₫,0,4,13,4.6,37,1,0
408,61.900 ₫,0,7,63,4.7,339,2,4.7
409,157.000 ₫,-13%,2,13,4.9,96,1,5
410,80.000 ₫,-6%,11,31,4.7,221,3,4.7
411,159.011 ₫,0,3,7,4.3,2457,6,4.3
412,12.600 ₫,0,0,10,4.0,344,0,0
413,12.500 ₫,0,4,237,4.7,1,0,5
414,40.920 ₫,0,0,0,3.9,159,0,0
415,15.600 ₫,0,15,278,4.8,616,1,5
416,369.000 ₫,0,136,594,4.6,698,2,4.7
417,200.000 ₫,0,5,209,4.8,453,1,4.8
418,145.000 ₫,-28%,12,54,4.8,277,1,4.4
419,37.800 ₫,-37%,4,52,4.8,179,2,4
420,31.740 ₫,-31%,5,46,4.8,179,2,5
421,108.000 ₫,0,37,256,4.7,1638,1,4.8
422,590.000 ₫,0,29,100,4.5,1740,1,4.9
423,31.340 ₫,-18%,0,6,4.2,11,1,0
424,335.000 ₫,-26%,989,5000+,4.7,479129,1,4.8
425,132.000 ₫,0,0,666,4.8,2048,1,0
426,132.000 ₫,0,4,5000+,4.8,2048,1,5
427,4.200 ₫,-30%,0,415,4.6,26,1,0
428,335.000 ₫,-26%,989,5000+,4.7,479129,1,4.8
429,234.000 ₫,-15%,469,2673,4.7,479129,1,4.7
430,341.000 ₫,-25%,836,5000+,4.7,479129,1,4.8
431,170.000 ₫,-25%,1622,5000+,4.7,479129,1,4.8
432,121.000 ₫,-10%,434,4470,4.8,277,1,4.8
433,427.000 ₫,-6%,866,5000+,4.7,479129,1,4.9
434,341.000 ₫,-25%,836,5000+,4.7,479129,1,4.8
435,50.000 ₫,-49%,40,484,4.8,4096,9,5
436,13.680 ₫,0,13,223,4.2,1331,3,3.4
437,234.000 ₫,-15%,469,2673,4.7,479129,1,4.7
438,29.000 ₫,-28%,58,822,4.7,479129,0,4.9
439,170.000 ₫,-25%,1622,5000+,4.7,479129,1,4.8
440,175.000 ₫,-23%,1583,5000+,4.7,479129,1,4.8
441,326.000 ₫,-22%,792,4771,4.7,479129,1,4.8
442,220.000 ₫,-23%,1263,5000+,4.7,479129,1,4.9
443,174.000 ₫,-23%,1538,5000+,4.7,479129,1,4.8
444,458.000 ₫,-20%,389,2692,4.7,479129,1,4.9
445,227.000 ₫,0,1159,5000+,4.7,479129,1,4.9
446,0,0,717,4240,4.7,479129,1,4.7
447,326.000 ₫,-22%,716,3877,4.7,479129,1,4.8
448,433.000 ₫,-20%,406,2805,4.7,479129,1,4.9
449,220.000 ₫,-23%,1263,5000+,4.7,479129,1,4.9
450,170.000 ₫,-25%,1526,5000+,4.7,479129,1,0
451,319.174 ₫,0,0,24,4.7,645,4,0
452,8.500 ₫,0,0,111,4.7,725,1,0
453,110.000 ₫,-29%,293,3017,4.8,277,1,4.9
454,427.000 ₫,-6%,866,5000+,4.7,479129,1,4.9
455,296.000 ₫,-20%,166,891,4.7,479129,1,4.9
456,74.000 ₫,-5%,509,5000+,4.7,479129,1,4.8
457,151.000 ₫,-18%,631,5000+,4.7,479129,1,4.8
