,price,discount,review_count,quantity_sold,rate_shop,shop_follow,count_code,rating_avarage
217,399.000 ₫,0,0,3,4.5,721,2,0
218,810.000 ₫,0,0,0,4.5,178,2,0
219,376.000 ₫,0,0,0,0.0,0,1,0
220,350.000 ₫,0,2,19,4.8,16,1,5
221,404.000 ₫,0,0,4,4.8,808,1,0
222,132.000 ₫,0,0,0,0.0,0,1,0
223,975.000 ₫,0,0,0,4.8,931,2,0
224,270.000 ₫,0,26,104,4.7,27,5,0
225,287.000 ₫,0,0,0,0.0,0,1,0
226,499.000 ₫,0,1,4,4.5,721,2,0
227,248.000 ₫,0,0,0,0.0,0,1,0
228,99.000 ₫,-10%,4,49,4.3,2457,5,0
229,183.000 ₫,0,0,0,0.0,0,1,0
230,690.000 ₫,0,9,20,4.4,8,1,0
231,198.000 ₫,-50%,0,0,4.7,64,1,0
